ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
5,2,Mogbazar,Mohakhali,2.87476,2.87476,5.00772,5.17514,0,2.13296,0.167411,2.13296,2.30038
12,2,Mogbazar,Mohakhali,5.00772,5.00772,5.00772,5.17514,0,0,0.167411,0,0.167411
15,1,Mogbazar,Mohakhali,6.38239,6.38239,6.38239,6.84997,0,0,0.467583,0,0.467583
4,3,Mogbazar,Mohakhali,1.87815,1.87815,10.2681,10.6987,0,8.38999,0.430548,8.38999,8.82054
22,3,Mogbazar,Mohakhali,7.53962,7.53962,10.2681,10.6987,0,2.72852,0.430548,2.72852,3.15907
27,3,Mogbazar,Mohakhali,10.2681,10.2681,10.2681,10.6987,0,0,0.430548,0,0.430548
43,2,Mohakhali,Mogbazar,14.4514,14.4514,16.1274,16.6227,0,1.67597,0.49527,1.67597,2.17124
48,2,Mohakhali,Mogbazar,16.1274,16.1274,16.1274,16.6227,0,0,0.49527,0,0.49527
20,5,Mogbazar,Mohakhali,7.26586,7.26586,20.8471,21.8983,0,13.5813,1.05116,13.5813,14.6324
25,5,Mogbazar,Mohakhali,8.78992,8.78992,20.8471,21.8983,0,12.0572,1.05116,12.0572,13.1083
36,5,Mogbazar,Mohakhali,12.2343,12.2343,20.8471,21.8983,0,8.61286,1.05116,8.61286,9.66402
37,5,Mogbazar,Mohakhali,12.2712,12.2712,20.8471,21.8983,0,8.57588,1.05116,8.57588,9.62704
56,5,Mogbazar,Mohakhali,20.8471,20.8471,20.8471,21.8983,0,0,1.05116,0,1.05116
60,1,Mohakhali,Mogbazar,22.8777,22.8777,22.8777,23.0699,0,0,0.192146,0,0.192146
52,2,Mogbazar,Mohakhali,18.4863,18.4863,23.484,24.9614,0,4.99772,1.47736,4.99772,6.47508
62,2,Mogbazar,Mohakhali,23.484,23.484,23.484,24.9614,0,0,1.47736,0,1.47736
65,1,Mogbazar,Mohakhali,24.4836,24.4836,24.4836,26.8047,0,0,2.32111,0,2.32111
30,4,Mogbazar,Mohakhali,11.2471,11.2471,26.2679,28.1374,0,15.0209,1.8695,15.0209,16.8904
41,4,Mogbazar,Mohakhali,13.496,13.496,26.2679,28.1374,0,12.7719,1.8695,12.7719,14.6414
50,4,Mogbazar,Mohakhali,16.5057,16.5057,26.2679,28.1374,0,9.76225,1.8695,9.76225,11.6317
72,4,Mogbazar,Mohakhali,26.2679,26.2679,26.2679,28.1374,0,0,1.8695,0,1.8695
1,10,Mogbazar,Mohakhali,0.0544993,0.0544993,27.1482,28.7637,0,27.0937,1.61547,27.0937,28.7092
19,10,Mogbazar,Mohakhali,7.06384,7.06384,27.1482,28.7637,0,20.0844,1.61547,20.0844,21.6998
24,10,Mogbazar,Mohakhali,8.61358,8.61358,27.1482,28.7637,0,18.5346,1.61547,18.5346,20.1501
42,10,Mogbazar,Mohakhali,14.2657,14.2657,27.1482,28.7637,0,12.8825,1.61547,12.8825,14.498
49,10,Mogbazar,Mohakhali,16.2806,16.2806,27.1482,28.7637,0,10.8676,1.61547,10.8676,12.4831
57,10,Mogbazar,Mohakhali,21.4231,21.4231,27.1482,28.7637,0,5.72507,1.61547,5.72507,7.34054
64,10,Mogbazar,Mohakhali,24.4164,24.4164,27.1482,28.7637,0,2.73178,1.61547,2.73178,4.34725
66,10,Mogbazar,Mohakhali,24.4871,24.4871,27.1482,28.7637,0,2.66107,1.61547,2.66107,4.27653
73,10,Mogbazar,Mohakhali,26.3494,26.3494,27.1482,28.7637,0,0.798788,1.61547,0.798788,2.41425
74,10,Mogbazar,Mohakhali,27.1482,27.1482,27.1482,28.7637,0,0,1.61547,0,1.61547
80,2,Mohakhali,Mogbazar,28.7226,28.7226,29.3728,29.4127,0,0.650146,0.0399196,0.650146,0.690066
82,2,Mohakhali,Mogbazar,29.3728,29.3728,29.3728,29.4127,0,0,0.0399196,0,0.0399196
21,9,Mogbazar,Mohakhali,7.50855,7.50855,31.6635,32.7093,0,24.155,1.04576,24.155,25.2008
26,9,Mogbazar,Mohakhali,9.26272,9.26272,31.6635,32.7093,0,22.4008,1.04576,22.4008,23.4466
47,9,Mogbazar,Mohakhali,16.0412,16.0412,31.6635,32.7093,0,15.6224,1.04576,15.6224,16.6682
53,9,Mogbazar,Mohakhali,18.6093,18.6093,31.6635,32.7093,0,13.0543,1.04576,13.0543,14.1
59,9,Mogbazar,Mohakhali,22.5632,22.5632,31.6635,32.7093,0,9.10032,1.04576,9.10032,10.1461
70,9,Mogbazar,Mohakhali,25.6941,25.6941,31.6635,32.7093,0,5.96948,1.04576,5.96948,7.01524
