ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,299,73,2553,0.204795
2,2,180,35,1589,0.257143
3,3,182,33,1621,0.275758
4,4,161,21,1483,0.383333
5,5,118,19,1066,0.310526
6,6,101,13,932,0.388462
7,7,119,15,1099,0.396667
8,8,93,11,863,0.422727
9,9,81,9,756,0.45
10,10,84,7,798,0.6
11,11,75,6,714,0.625
12,12,51,4,486,0.6375
13,13,91,6,875,0.758333
14,14,95,6,914,0.791667
15,15,60,4,576,0.75
16,16,68,4,656,0.85
17,17,68,4,656,0.85
18,18,72,4,696,0.9
19,19,77,4,745,0.9625
20,20,40,2,387,1
