ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,246,84,1957,0.146429
2,2,295,52,2638,0.283654
3,3,187,33,1673,0.283333
4,4,138,21,1254,0.328571
5,5,90,15,809,0.3
6,6,128,17,1177,0.376471
7,7,82,11,753,0.372727
8,8,106,12,988,0.441667
9,9,74,7,698,0.528571
10,10,90,9,845,0.5
11,11,66,6,624,0.55
12,12,72,6,683,0.6
13,13,78,6,744,0.65
14,14,84,6,803,0.7
15,15,80,5,769,0.8
16,16,64,4,616,0.8
17,17,102,6,983,0.85
18,18,72,4,695,0.9
19,19,76,4,735,0.95
20,20,40,2,387,1
