ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,409,97,3511,0.210825
2,2,170,43,1443,0.197674
3,3,187,37,1648,0.252703
4,4,138,23,1244,0.3
5,5,145,23,1311,0.315217
6,6,101,15,919,0.336667
7,7,101,13,933,0.388462
8,8,74,9,685,0.411111
9,9,81,9,756,0.45
10,10,119,11,1123,0.540909
11,11,125,10,1190,0.625
12,12,72,6,684,0.6
13,13,78,6,743,0.65
14,14,84,6,804,0.7
15,15,61,4,586,0.7625
16,16,64,4,617,0.8
17,17,68,4,655,0.85
18,18,108,6,1045,0.9
19,19,76,4,735,0.95
20,20,80,4,775,1
