ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,331,89,2775,0.185955
2,2,175,43,1490,0.203488
3,3,143,29,1252,0.246552
4,4,128,21,1152,0.304762
5,5,104,15,949,0.346667
6,6,105,15,961,0.35
7,7,111,13,1032,0.426923
8,8,111,13,1031,0.426923
9,9,108,12,1005,0.45
10,10,80,7,757,0.571429
11,11,89,8,842,0.55625
12,12,72,6,683,0.6
13,13,84,6,804,0.7
14,14,84,6,803,0.7
15,15,91,6,874,0.758333
16,16,96,6,923,0.8
17,17,71,4,685,0.8875
18,18,72,4,696,0.9
19,19,76,4,735,0.95
20,20,80,4,775,1
