ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
11,2,Mogbazar,Mohakhali,2.69195,2.69195,4.45711,4.45858,0,1.76515,0.00147359,1.76515,1.76663
13,2,Mogbazar,Mohakhali,4.45711,4.45711,4.45711,4.45858,0,0,0.00147359,0,0.00147359
18,1,Mogbazar,Mohakhali,5.37665,5.37665,5.37665,5.5056,0,0,0.128955,0,0.128955
27,1,Mohakhali,Mogbazar,9.19114,9.19114,9.19114,10.5185,0,0,1.32733,0,1.32733
19,2,Mohakhali,Mogbazar,5.53261,5.53261,12.2792,12.6845,0,6.74655,0.405289,6.74655,7.15184
36,2,Mohakhali,Mogbazar,12.2792,12.2792,12.2792,12.6845,0,0,0.405289,0,0.405289
44,1,Mogbazar,Mohakhali,13.6435,13.6435,13.6435,15.0586,0,0,1.41504,0,1.41504
1,4,Mogbazar,Mohakhali,0.521182,0.521182,14.5153,15.2517,0,13.9942,0.736345,13.9942,14.7305
10,4,Mogbazar,Mohakhali,2.60481,2.60481,14.5153,15.2517,0,11.9105,0.736345,11.9105,12.6469
16,4,Mogbazar,Mohakhali,5.20093,5.20093,14.5153,15.2517,0,9.31441,0.736345,9.31441,10.0508
46,4,Mogbazar,Mohakhali,14.5153,14.5153,14.5153,15.2517,0,0,0.736345,0,0.736345
51,1,Mohakhali,Mogbazar,17.4485,17.4485,17.4485,19.0104,0,0,1.56185,0,1.56185
54,1,Mogbazar,Mohakhali,19.957,19.957,19.957,21.1355,0,0,1.17846,0,1.17846
32,5,Mogbazar,Mohakhali,11.2984,11.2984,26.4832,26.565,0,15.1848,0.081796,15.1848,15.2666
40,5,Mogbazar,Mohakhali,13.0001,13.0001,26.4832,26.565,0,13.4831,0.081796,13.4831,13.5649
43,5,Mogbazar,Mohakhali,13.4661,13.4661,26.4832,26.565,0,13.0171,0.081796,13.0171,13.0989
60,5,Mogbazar,Mohakhali,23.4381,23.4381,26.4832,26.565,0,3.0451,0.081796,3.0451,3.12689
74,5,Mogbazar,Mohakhali,26.4832,26.4832,26.4832,26.565,0,0,0.081796,0,0.081796
68,1,Mohakhali,Mogbazar,24.6634,24.6634,24.6634,27.5301,0,0,2.86666,0,2.86666
47,3,Mogbazar,Mohakhali,14.8767,14.8767,27.6108,30.8071,0,12.7341,3.19635,12.7341,15.9304
73,3,Mogbazar,Mohakhali,26.3647,26.3647,27.6108,30.8071,0,1.2461,3.19635,1.2461,4.44245
78,3,Mogbazar,Mohakhali,27.6108,27.6108,27.6108,30.8071,0,0,3.19635,0,3.19635
81,1,Mogbazar,Mohakhali,29.2637,29.2637,29.2637,30.8135,0,0,1.54985,0,1.54985
5,8,Mogbazar,Mohakhali,1.76982,1.76982,34.6696,35.5406,0,32.8998,0.870991,32.8998,33.7708
14,8,Mogbazar,Mohakhali,4.77083,4.77083,34.6696,35.5406,0,29.8987,0.870991,29.8987,30.7697
39,8,Mogbazar,Mohakhali,12.9662,12.9662,34.6696,35.5406,0,21.7034,0.870991,21.7034,22.5744
52,8,Mogbazar,Mohakhali,17.8219,17.8219,34.6696,35.5406,0,16.8477,0.870991,16.8477,17.7187
59,8,Mogbazar,Mohakhali,23.0711,23.0711,34.6696,35.5406,0,11.5985,0.870991,11.5985,12.4695
79,8,Mogbazar,Mohakhali,28.0426,28.0426,34.6696,35.5406,0,6.62697,0.870991,6.62697,7.49796
85,8,Mogbazar,Mohakhali,31.6922,31.6922,34.6696,35.5406,0,2.97739,0.870991,2.97739,3.84838
96,8,Mogbazar,Mohakhali,34.6696,34.6696,34.6696,35.5406,0,0,0.870991,0,0.870991
9,9,Mogbazar,Mohakhali,2.17436,2.17436,36.2391,37.1113,0,34.0648,0.872223,34.0648,34.937
30,9,Mogbazar,Mohakhali,10.5747,10.5747,36.2391,37.1113,0,25.6644,0.872223,25.6644,26.5366
33,9,Mogbazar,Mohakhali,11.6189,11.6189,36.2391,37.1113,0,24.6203,0.872223,24.6203,25.4925
35,9,Mogbazar,Mohakhali,11.8861,11.8861,36.2391,37.1113,0,24.3531,0.872223,24.3531,25.2253
55,9,Mogbazar,Mohakhali,20.4379,20.4379,36.2391,37.1113,0,15.8012,0.872223,15.8012,16.6735
57,9,Mogbazar,Mohakhali,20.7957,20.7957,36.2391,37.1113,0,15.4434,0.872223,15.4434,16.3157
