ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,282,73,2383,0.193151
2,2,244,41,2193,0.297561
3,3,135,29,1178,0.232759
4,4,109,17,987,0.320588
5,5,95,16,853,0.296875
6,6,106,13,982,0.407692
7,7,77,11,703,0.35
8,8,100,11,933,0.454545
9,9,108,9,1026,0.6
10,10,96,9,903,0.533333
11,11,44,4,415,0.55
12,12,72,6,684,0.6
13,13,111,8,1061,0.69375
14,14,84,6,803,0.7
15,15,90,6,865,0.75
16,16,100,6,964,0.833333
17,17,68,4,656,0.85
18,18,108,6,1043,0.9
19,19,77,4,745,0.9625
20,20,80,4,775,1
