ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
15,1,Mogbazar,Mohakhali,5.11237,5.11237,5.11237,6.88218,0,0,1.76981,0,1.76981
3,4,Mogbazar,Mohakhali,0.657252,0.657252,8.47997,9.28135,0,7.82272,0.801374,7.82272,8.62409
10,4,Mogbazar,Mohakhali,3.56593,3.56593,8.47997,9.28135,0,4.91404,0.801374,4.91404,5.71541
23,4,Mogbazar,Mohakhali,7.91826,7.91826,8.47997,9.28135,0,0.561718,0.801374,0.561718,1.36309
27,4,Mogbazar,Mohakhali,8.47997,8.47997,8.47997,9.28135,0,0,0.801374,0,0.801374
28,1,Mohakhali,Mogbazar,8.98229,8.98229,8.98229,9.51668,0,0,0.534389,0,0.534389
4,5,Mogbazar,Mohakhali,0.857291,0.857291,12.4469,12.9105,0,11.5896,0.463613,11.5896,12.0532
5,5,Mogbazar,Mohakhali,2.51046,2.51046,12.4469,12.9105,0,9.9364,0.463613,9.9364,10.4
18,5,Mogbazar,Mohakhali,6.07331,6.07331,12.4469,12.9105,0,6.37355,0.463613,6.37355,6.83716
24,5,Mogbazar,Mohakhali,7.96904,7.96904,12.4469,12.9105,0,4.47782,0.463613,4.47782,4.94143
36,5,Mogbazar,Mohakhali,12.4469,12.4469,12.4469,12.9105,0,0,0.463613,0,0.463613
31,1,Mogbazar,Mohakhali,11.4765,11.4765,11.4765,13.2496,0,0,1.7731,0,1.7731
21,2,Mogbazar,Mohakhali,6.89148,6.89148,13.9504,14.4266,0,7.05891,0.476181,7.05891,7.53509
40,2,Mogbazar,Mohakhali,13.9504,13.9504,13.9504,14.4266,0,0,0.476181,0,0.476181
44,1,Mohakhali,Mogbazar,14.8464,14.8464,14.8464,15.1903,0,0,0.343874,0,0.343874
6,3,Mogbazar,Mohakhali,2.80136,2.80136,15.2431,15.28,0,12.4418,0.0368438,12.4418,12.4786
41,3,Mogbazar,Mohakhali,14.0085,14.0085,15.2431,15.28,0,1.2346,0.0368438,1.2346,1.27144
47,3,Mogbazar,Mohakhali,15.2431,15.2431,15.2431,15.28,0,0,0.0368438,0,0.0368438
49,1,Mogbazar,Mohakhali,15.8281,15.8281,15.8281,16.1797,0,0,0.351518,0,0.351518
