ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
6,1,Mogbazar,Mohakhali,1.92636,1.92636,1.92636,4.27647,0,0,2.35012,0,2.35012
16,1,Mohakhali,Mogbazar,7.06565,7.06565,7.06565,7.40455,0,0,0.338905,0,0.338905
13,3,Mogbazar,Mohakhali,3.96461,3.96461,9.43515,10.2114,0,5.47054,0.776275,5.47054,6.24681
15,3,Mogbazar,Mohakhali,4.94439,4.94439,9.43515,10.2114,0,4.49076,0.776275,4.49076,5.26704
24,3,Mogbazar,Mohakhali,9.43515,9.43515,9.43515,10.2114,0,0,0.776275,0,0.776275
2,2,Mogbazar,Mohakhali,0.792325,0.792325,8.04971,10.4295,0,7.25738,2.37981,7.25738,9.63719
21,2,Mogbazar,Mohakhali,8.04971,8.04971,8.04971,10.4295,0,0,2.37981,0,2.37981
1,5,Mogbazar,Mohakhali,0.542667,0.542667,11.1975,11.5219,0,10.6549,0.324412,10.6549,10.9793
11,5,Mogbazar,Mohakhali,3.71926,3.71926,11.1975,11.5219,0,7.47827,0.324412,7.47827,7.80268
22,5,Mogbazar,Mohakhali,9.05833,9.05833,11.1975,11.5219,0,2.1392,0.324412,2.1392,2.46361
28,5,Mogbazar,Mohakhali,10.7731,10.7731,11.1975,11.5219,0,0.424428,0.324412,0.424428,0.74884
31,5,Mogbazar,Mohakhali,11.1975,11.1975,11.1975,11.5219,0,0,0.324412,0,0.324412
41,1,Mogbazar,Mohakhali,13.3114,13.3114,13.3114,13.6501,0,0,0.338753,0,0.338753
46,1,Mohakhali,Mogbazar,14.8622,14.8622,14.8622,15.3107,0,0,0.448572,0,0.448572
49,1,Mogbazar,Mohakhali,15.5984,15.5984,15.5984,17.3885,0,0,1.79012,0,1.79012
17,10,Mogbazar,Mohakhali,7.331,7.331,18.1717,19.9087,0,10.8407,1.73698,10.8407,12.5777
32,10,Mogbazar,Mohakhali,11.2678,11.2678,18.1717,19.9087,0,6.90397,1.73698,6.90397,8.64095
45,10,Mogbazar,Mohakhali,14.7998,14.7998,18.1717,19.9087,0,3.37195,1.73698,3.37195,5.10893
50,10,Mogbazar,Mohakhali,15.685,15.685,18.1717,19.9087,0,2.4867,1.73698,2.4867,4.22368
51,10,Mogbazar,Mohakhali,15.8093,15.8093,18.1717,19.9087,0,2.36247,1.73698,2.36247,4.09945
52,10,Mogbazar,Mohakhali,15.8547,15.8547,18.1717,19.9087,0,2.31706,1.73698,2.31706,4.05404
60,10,Mogbazar,Mohakhali,16.7548,16.7548,18.1717,19.9087,0,1.41693,1.73698,1.41693,3.15391
61,10,Mogbazar,Mohakhali,16.92,16.92,18.1717,19.9087,0,1.2517,1.73698,1.2517,2.98868
64,10,Mogbazar,Mohakhali,17.7162,17.7162,18.1717,19.9087,0,0.45557,1.73698,0.45557,2.19255
66,10,Mogbazar,Mohakhali,18.1717,18.1717,18.1717,19.9087,0,0,1.73698,0,1.73698
9,8,Mogbazar,Mohakhali,2.73553,2.73553,18.6273,21.0862,0,15.8917,2.45896,15.8917,18.3507
33,8,Mogbazar,Mohakhali,11.4348,11.4348,18.6273,21.0862,0,7.19251,2.45896,7.19251,9.65147
39,8,Mogbazar,Mohakhali,12.7315,12.7315,18.6273,21.0862,0,5.89581,2.45896,5.89581,8.35478
54,8,Mogbazar,Mohakhali,16.066,16.066,18.6273,21.0862,0,2.56123,2.45896,2.56123,5.0202
58,8,Mogbazar,Mohakhali,16.2714,16.2714,18.6273,21.0862,0,2.35591,2.45896,2.35591,4.81487
62,8,Mogbazar,Mohakhali,17.0663,17.0663,18.6273,21.0862,0,1.56101,2.45896,1.56101,4.01997
67,8,Mogbazar,Mohakhali,18.4471,18.4471,18.6273,21.0862,0,0.180129,2.45896,0.180129,2.63909
69,8,Mogbazar,Mohakhali,18.6273,18.6273,18.6273,21.0862,0,0,2.45896,0,2.45896
14,4,Mogbazar,Mohakhali,4.62283,4.62283,20.4736,23.0236,0,15.8508,2.55001,15.8508,18.4008
34,4,Mogbazar,Mohakhali,11.4381,11.4381,20.4736,23.0236,0,9.03547,2.55001,9.03547,11.5855
70,4,Mogbazar,Mohakhali,18.8547,18.8547,20.4736,23.0236,0,1.61887,2.55001,1.61887,4.16888
74,4,Mogbazar,Mohakhali,20.4736,20.4736,20.4736,23.0236,0,0,2.55001,0,2.55001
8,6,Mogbazar,Mohakhali,2.70927,2.70927,24.4135,25.35,0,21.7042,0.936518,21.7042,22.6407
38,6,Mogbazar,Mohakhali,12.6702,12.6702,24.4135,25.35,0,11.7433,0.936518,11.7433,12.6798
44,6,Mogbazar,Mohakhali,14.5913,14.5913,24.4135,25.35,0,9.82217,0.936518,9.82217,10.7587
47,6,Mogbazar,Mohakhali,15.324,15.324,24.4135,25.35,0,9.08949,0.936518,9.08949,10.026
71,6,Mogbazar,Mohakhali,18.8817,18.8817,24.4135,25.35,0,5.53174,0.936518,5.53174,6.46826
85,6,Mogbazar,Mohakhali,24.4135,24.4135,24.4135,25.35,0,0,0.936518,0,0.936518
10,7,Mogbazar,Mohakhali,3.41527,3.41527,23.6951,25.785,0,20.2798,2.08992,20.2798,22.3697
23,7,Mogbazar,Mohakhali,9.17728,9.17728,23.6951,25.785,0,14.5178,2.08992,14.5178,16.6077
42,7,Mogbazar,Mohakhali,13.9695,13.9695,23.6951,25.785,0,9.72551,2.08992,9.72551,11.8154
53,7,Mogbazar,Mohakhali,15.9913,15.9913,23.6951,25.785,0,7.70374,2.08992,7.70374,9.79365
68,7,Mogbazar,Mohakhali,18.4617,18.4617,23.6951,25.785,0,5.23335,2.08992,5.23335,7.32327
72,7,Mogbazar,Mohakhali,19.8516,19.8516,23.6951,25.785,0,3.84342,2.08992,3.84342,5.93333
81,7,Mogbazar,Mohakhali,23.6951,23.6951,23.6951,25.785,0,0,2.08992,0,2.08992
43,9,Mogbazar,Mohakhali,14.5562,14.5562,24.3394,27.1939,0,9.78312,2.8545,9.78312,12.6376
59,9,Mogbazar,Mohakhali,16.4981,16.4981,24.3394,27.1939,0,7.84122,2.8545,7.84122,10.6957
63,9,Mogbazar,Mohakhali,17.4914,17.4914,24.3394,27.1939,0,6.84797,2.8545,6.84797,9.70247
65,9,Mogbazar,Mohakhali,17.7183,17.7183,24.3394,27.1939,0,6.62109,2.8545,6.62109,9.47559
73,9,Mogbazar,Mohakhali,20.3018,20.3018,24.3394,27.1939,0,4.03758,2.8545,4.03758,6.89208
77,9,Mogbazar,Mohakhali,22.2606,22.2606,24.3394,27.1939,0,2.0788,2.8545,2.0788,4.9333
78,9,Mogbazar,Mohakhali,22.7861,22.7861,24.3394,27.1939,0,1.55331,2.8545,1.55331,4.40781
83,9,Mogbazar,Mohakhali,24.3172,24.3172,24.3394,27.1939,0,0.0221503,2.8545,0.0221503,2.87665
84,9,Mogbazar,Mohakhali,24.3394,24.3394,24.3394,27.1939,0,0,2.8545,0,2.8545
55,3,Mohakhali,Mogbazar,16.1018,16.1018,24.4195,28.4579,0,8.31769,4.03834,8.31769,12.356
56,3,Mohakhali,Mogbazar,16.1749,16.1749,24.4195,28.4579,0,8.24468,4.03834,8.24468,12.283
86,3,Mohakhali,Mogbazar,24.4195,24.4195,24.4195,28.4579,0,0,4.03834,0,4.03834
87,3,Mogbazar,Mohakhali,24.431,28.4579,28.4579,31.818,4.02683,0,3.36012,4.02683,7.38695
88,3,Mogbazar,Mohakhali,24.892,28.4579,28.4579,31.818,3.5659,0,3.36012,3.5659,6.92602
91,3,Mogbazar,Mohakhali,26.2203,28.4579,28.4579,31.818,2.23762,0,3.36012,2.23762,5.59774
92,3,Mogbazar,Mohakhali,26.7674,28.4579,28.4579,31.818,1.6905,0,3.36012,1.6905,5.05062
