ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
3,1,Mogbazar,Mohakhali,0.597066,0.597066,0.597066,1.7933,0,0,1.19623,0,1.19623
1,2,Mogbazar,Mohakhali,0.0366985,0.0366985,1.49708,3.46908,0,1.46038,1.972,1.46038,3.43238
6,2,Mogbazar,Mohakhali,1.49708,1.49708,1.49708,3.46908,0,0,1.972,0,1.972
4,3,Mogbazar,Mohakhali,0.689024,0.689024,3.46831,4.19089,0,2.77929,0.722578,2.77929,3.50187
8,3,Mogbazar,Mohakhali,2.01744,2.01744,3.46831,4.19089,0,1.45087,0.722578,1.45087,2.17345
17,3,Mogbazar,Mohakhali,3.46831,3.46831,3.46831,4.19089,0,0,0.722578,0,0.722578
25,1,Mohakhali,Mogbazar,5.93971,5.93971,5.93971,6.69692,0,0,0.757208,0,0.757208
32,1,Mogbazar,Mohakhali,8.07329,8.07329,8.07329,8.27435,0,0,0.20106,0,0.20106
13,4,Mogbazar,Mohakhali,2.63354,2.63354,10.1429,10.5942,0,7.50937,0.451334,7.50937,7.9607
14,4,Mogbazar,Mohakhali,2.94681,2.94681,10.1429,10.5942,0,7.1961,0.451334,7.1961,7.64743
18,4,Mogbazar,Mohakhali,3.66027,3.66027,10.1429,10.5942,0,6.48264,0.451334,6.48264,6.93398
39,4,Mogbazar,Mohakhali,10.1429,10.1429,10.1429,10.5942,0,0,0.451334,0,0.451334
34,2,Mohakhali,Mogbazar,9.24604,9.24604,12.7947,13.8183,0,3.54869,1.02353,3.54869,4.57222
48,2,Mohakhali,Mogbazar,12.7947,12.7947,12.7947,13.8183,0,0,1.02353,0,1.02353
7,5,Mogbazar,Mohakhali,1.60808,1.60808,13.3852,14.4827,0,11.7772,1.09749,11.7772,12.8746
12,5,Mogbazar,Mohakhali,2.40454,2.40454,13.3852,14.4827,0,10.9807,1.09749,10.9807,12.0782
16,5,Mogbazar,Mohakhali,3.33106,3.33106,13.3852,14.4827,0,10.0542,1.09749,10.0542,11.1517
37,5,Mogbazar,Mohakhali,9.66779,9.66779,13.3852,14.4827,0,3.71744,1.09749,3.71744,4.81493
49,5,Mogbazar,Mohakhali,13.3852,13.3852,13.3852,14.4827,0,0,1.09749,0,1.09749
5,9,Mogbazar,Mohakhali,0.706665,0.706665,17.1095,18.7364,0,16.4028,1.62686,16.4028,18.0297
10,9,Mogbazar,Mohakhali,2.08662,2.08662,17.1095,18.7364,0,15.0229,1.62686,15.0229,16.6497
21,9,Mogbazar,Mohakhali,3.9934,3.9934,17.1095,18.7364,0,13.1161,1.62686,13.1161,14.743
36,9,Mogbazar,Mohakhali,9.65719,9.65719,17.1095,18.7364,0,7.45231,1.62686,7.45231,9.07917
38,9,Mogbazar,Mohakhali,10.0604,10.0604,17.1095,18.7364,0,7.04908,1.62686,7.04908,8.67594
42,9,Mogbazar,Mohakhali,11.7163,11.7163,17.1095,18.7364,0,5.39323,1.62686,5.39323,7.02009
45,9,Mogbazar,Mohakhali,12.1101,12.1101,17.1095,18.7364,0,4.99937,1.62686,4.99937,6.62623
54,9,Mogbazar,Mohakhali,13.8734,13.8734,17.1095,18.7364,0,3.23607,1.62686,3.23607,4.86293
61,9,Mogbazar,Mohakhali,17.1095,17.1095,17.1095,18.7364,0,0,1.62686,0,1.62686
65,2,Mogbazar,Mohakhali,18.1712,18.1712,21.03,21.6979,0,2.85872,0.667909,2.85872,3.52663
69,2,Mogbazar,Mohakhali,21.03,21.03,21.03,21.6979,0,0,0.667909,0,0.667909
33,7,Mogbazar,Mohakhali,8.7865,8.7865,26.573,26.5852,0,17.7865,0.0121107,17.7865,17.7986
35,7,Mogbazar,Mohakhali,9.56051,9.56051,26.573,26.5852,0,17.0125,0.0121107,17.0125,17.0246
51,7,Mogbazar,Mohakhali,13.4801,13.4801,26.573,26.5852,0,13.0929,0.0121107,13.0929,13.1051
72,7,Mogbazar,Mohakhali,21.8096,21.8096,26.573,26.5852,0,4.76348,0.0121107,4.76348,4.77559
79,7,Mogbazar,Mohakhali,24.2645,24.2645,26.573,26.5852,0,2.30849,0.0121107,2.30849,2.32061
87,7,Mogbazar,Mohakhali,26.5403,26.5403,26.573,26.5852,0,0.0327079,0.0121107,0.0327079,0.0448186
89,7,Mogbazar,Mohakhali,26.573,26.573,26.573,26.5852,0,0,0.0121107,0,0.0121107
9,6,Mogbazar,Mohakhali,2.03902,2.03902,26.3521,26.7544,0,24.313,0.40236,24.313,24.7154
40,6,Mogbazar,Mohakhali,10.6068,10.6068,26.3521,26.7544,0,15.7453,0.40236,15.7453,16.1476
41,6,Mogbazar,Mohakhali,10.7553,10.7553,26.3521,26.7544,0,15.5967,0.40236,15.5967,15.9991
62,6,Mogbazar,Mohakhali,17.1259,17.1259,26.3521,26.7544,0,9.22615,0.40236,9.22615,9.62851
80,6,Mogbazar,Mohakhali,24.4715,24.4715,26.3521,26.7544,0,1.88059,0.40236,1.88059,2.28295
85,6,Mogbazar,Mohakhali,26.3521,26.3521,26.3521,26.7544,0,0,0.40236,0,0.40236
23,8,Mogbazar,Mohakhali,4.89364,4.89364,26.3728,26.905,0,21.4791,0.532207,21.4791,22.0113
24,8,Mogbazar,Mohakhali,5.92311,5.92311,26.3728,26.905,0,20.4497,0.532207,20.4497,20.9819
27,8,Mogbazar,Mohakhali,6.39118,6.39118,26.3728,26.905,0,19.9816,0.532207,19.9816,20.5138
31,8,Mogbazar,Mohakhali,7.72143,7.72143,26.3728,26.905,0,18.6513,0.532207,18.6513,19.1836
