ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
10,1,Mogbazar,Mohakhali,3.95828,3.95828,3.95828,5.25813,0,0,1.29985,0,1.29985
8,4,Mogbazar,Mohakhali,3.75405,3.75405,9.37736,10.2173,0,5.62331,0.839903,5.62331,6.46321
20,4,Mogbazar,Mohakhali,7.2889,7.2889,9.37736,10.2173,0,2.08845,0.839903,2.08845,2.92836
23,4,Mogbazar,Mohakhali,8.3729,8.3729,9.37736,10.2173,0,1.00445,0.839903,1.00445,1.84436
29,4,Mogbazar,Mohakhali,9.37736,9.37736,9.37736,10.2173,0,0,0.839903,0,0.839903
30,1,Mohakhali,Mogbazar,9.59123,9.59123,9.59123,10.2187,0,0,0.627444,0,0.627444
14,3,Mogbazar,Mohakhali,5.19977,5.19977,12.6428,13.4428,0,7.44302,0.799991,7.44302,8.24301
24,3,Mogbazar,Mohakhali,8.41268,8.41268,12.6428,13.4428,0,4.23011,0.799991,4.23011,5.0301
41,3,Mogbazar,Mohakhali,12.6428,12.6428,12.6428,13.4428,0,0,0.799991,0,0.799991
36,1,Mogbazar,Mohakhali,11.3178,11.3178,11.3178,14.6768,0,0,3.35903,0,3.35903
18,2,Mogbazar,Mohakhali,7.19269,7.19269,14.1517,14.8393,0,6.95903,0.687535,6.95903,7.64656
50,2,Mogbazar,Mohakhali,14.1517,14.1517,14.1517,14.8393,0,0,0.687535,0,0.687535
1,9,Mogbazar,Mohakhali,1.93537,1.93537,17.7568,18.1902,0,15.8215,0.433326,15.8215,16.2548
4,9,Mogbazar,Mohakhali,2.96817,2.96817,17.7568,18.1902,0,14.7887,0.433326,14.7887,15.222
19,9,Mogbazar,Mohakhali,7.22236,7.22236,17.7568,18.1902,0,10.5345,0.433326,10.5345,10.9678
21,9,Mogbazar,Mohakhali,7.72001,7.72001,17.7568,18.1902,0,10.0368,0.433326,10.0368,10.4702
37,9,Mogbazar,Mohakhali,12.296,12.296,17.7568,18.1902,0,5.46081,0.433326,5.46081,5.89413
42,9,Mogbazar,Mohakhali,12.65,12.65,17.7568,18.1902,0,5.10686,0.433326,5.10686,5.54019
45,9,Mogbazar,Mohakhali,13.6042,13.6042,17.7568,18.1902,0,4.15264,0.433326,4.15264,4.58597
54,9,Mogbazar,Mohakhali,16.015,16.015,17.7568,18.1902,0,1.74189,0.433326,1.74189,2.17521
60,9,Mogbazar,Mohakhali,17.7568,17.7568,17.7568,18.1902,0,0,0.433326,0,0.433326
9,5,Mogbazar,Mohakhali,3.9044,3.9044,18.6249,20.2632,0,14.7205,1.63835,14.7205,16.3588
26,5,Mogbazar,Mohakhali,8.52214,8.52214,18.6249,20.2632,0,10.1028,1.63835,10.1028,11.7411
61,5,Mogbazar,Mohakhali,17.8563,17.8563,18.6249,20.2632,0,0.768631,1.63835,0.768631,2.40698
65,5,Mogbazar,Mohakhali,18.5339,18.5339,18.6249,20.2632,0,0.0909503,1.63835,0.0909503,1.7293
66,5,Mogbazar,Mohakhali,18.6249,18.6249,18.6249,20.2632,0,0,1.63835,0,1.63835
3,8,Mogbazar,Mohakhali,2.69751,2.69751,21.7888,22.6675,0,19.0913,0.878631,19.0913,19.97
5,8,Mogbazar,Mohakhali,3.16967,3.16967,21.7888,22.6675,0,18.6192,0.878631,18.6192,19.4978
43,8,Mogbazar,Mohakhali,12.6788,12.6788,21.7888,22.6675,0,9.11009,0.878631,9.11009,9.98872
57,8,Mogbazar,Mohakhali,16.2864,16.2864,21.7888,22.6675,0,5.50241,0.878631,5.50241,6.38104
59,8,Mogbazar,Mohakhali,17.032,17.032,21.7888,22.6675,0,4.75685,0.878631,4.75685,5.63548
67,8,Mogbazar,Mohakhali,18.8916,18.8916,21.7888,22.6675,0,2.89729,0.878631,2.89729,3.77592
69,8,Mogbazar,Mohakhali,19.7104,19.7104,21.7888,22.6675,0,2.07848,0.878631,2.07848,2.95711
74,8,Mogbazar,Mohakhali,21.7888,21.7888,21.7888,22.6675,0,0,0.878631,0,0.878631
85,2,Mohakhali,Mogbazar,25.3561,25.3561,26.5879,27.1573,0,1.23185,0.569401,1.23185,1.80125
88,2,Mohakhali,Mogbazar,26.5879,26.5879,26.5879,27.1573,0,0,0.569401,0,0.569401
81,1,Mohakhali,Mogbazar,24.3956,24.3956,24.3956,28.0289,0,0,3.63331,0,3.63331
