ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
1,1,Mogbazar,Mohakhali,0.00016787,0.00016787,0.00016787,0.517203,0,0,0.517035,0,0.517035
16,1,Mohakhali,Mogbazar,2.71223,2.71223,2.71223,2.91125,0,0,0.199018,0,0.199018
19,1,Mogbazar,Mohakhali,3.99363,3.99363,3.99363,4.52172,0,0,0.528089,0,0.528089
4,2,Mogbazar,Mohakhali,0.3223,0.3223,1.23317,4.71351,0,0.910869,3.48034,0.910869,4.39121
10,2,Mogbazar,Mohakhali,1.23317,1.23317,1.23317,4.71351,0,0,3.48034,0,3.48034
24,3,Mogbazar,Mohakhali,4.80826,4.80826,6.89492,7.03089,0,2.08666,0.135967,2.08666,2.22263
26,3,Mogbazar,Mohakhali,5.13944,5.13944,6.89492,7.03089,0,1.75548,0.135967,1.75548,1.89145
32,3,Mogbazar,Mohakhali,6.89492,6.89492,6.89492,7.03089,0,0,0.135967,0,0.135967
7,4,Mogbazar,Mohakhali,0.961267,0.961267,12.1209,14.6657,0,11.1596,2.54482,11.1596,13.7044
14,4,Mogbazar,Mohakhali,1.9726,1.9726,12.1209,14.6657,0,10.1483,2.54482,10.1483,12.6931
30,4,Mogbazar,Mohakhali,6.41961,6.41961,12.1209,14.6657,0,5.70125,2.54482,5.70125,8.24607
42,4,Mogbazar,Mohakhali,12.1209,12.1209,12.1209,14.6657,0,0,2.54482,0,2.54482
17,8,Mogbazar,Mohakhali,3.20619,3.20619,16.3477,16.421,0,13.1415,0.0732685,13.1415,13.2148
25,8,Mogbazar,Mohakhali,5.03905,5.03905,16.3477,16.421,0,11.3087,0.0732685,11.3087,11.382
35,8,Mogbazar,Mohakhali,8.43358,8.43358,16.3477,16.421,0,7.91415,0.0732685,7.91415,7.98742
38,8,Mogbazar,Mohakhali,10.2002,10.2002,16.3477,16.421,0,6.14757,0.0732685,6.14757,6.22084
